epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,4739.39,0.45334,0.29061,0.91476,0.95695,0.91845,0.96879,0.91072,0.29514,0.32239,0.86814,0.0001783,0.0001783,0.0001783
168,4749.62,0.45818,0.28913,0.90185,0.96772,0.90068,0.96757,0.91205,0.30122,0.30497,0.87895,0.00017335,0.00017335,0.00017335
169,4759.77,0.44378,0.28268,0.89565,0.94292,0.92163,0.96082,0.90985,0.29358,0.32977,0.87076,0.0001684,0.0001684,0.0001684
170,4769.97,0.44636,0.28546,0.89791,0.95347,0.90987,0.9629,0.9094,0.28738,0.31372,0.86536,0.00016345,0.00016345,0.00016345
171,4780.19,0.43475,0.27776,0.90003,0.93508,0.93133,0.9585,0.9028,0.29109,0.32232,0.86002,0.0001585,0.0001585,0.0001585
172,4790.41,0.43144,0.28347,0.89313,0.93832,0.9141,0.95788,0.9069,0.29138,0.3559,0.87071,0.00015355,0.00015355,0.00015355
173,4800.6,0.43217,0.28074,0.89554,0.94578,0.8983,0.94979,0.89912,0.28992,0.35587,0.87107,0.0001486,0.0001486,0.0001486
174,4810.79,0.42494,0.26996,0.89595,0.95007,0.89839,0.95089,0.90213,0.27451,0.32799,0.86134,0.00014365,0.00014365,0.00014365
175,4820.98,0.432,0.27509,0.89177,0.94625,0.90129,0.94975,0.90225,0.27014,0.3168,0.85643,0.0001387,0.0001387,0.0001387
176,4831.16,0.42659,0.27346,0.89053,0.93844,0.91591,0.94755,0.90083,0.27426,0.32746,0.85477,0.00013375,0.00013375,0.00013375
177,4841.35,0.42686,0.27492,0.88522,0.93412,0.91288,0.95051,0.9012,0.28434,0.34134,0.86169,0.0001288,0.0001288,0.0001288
178,4851.5,0.42202,0.27557,0.88642,0.95043,0.90516,0.95579,0.89935,0.28714,0.33333,0.86285,0.00012385,0.00012385,0.00012385
